((NEW YORK, NEW YORK,CERTIFIED,2011),23172)
((HOUSTON, TEXAS,CERTIFIED,2011),8184)
((CHICAGO, ILLINOIS,CERTIFIED,2011),5188)
((SAN JOSE, CALIFORNIA,CERTIFIED,2011),4713)
((SAN FRANCISCO, CALIFORNIA,CERTIFIED,2011),4711)
((NEW YORK, NEW YORK,CERTIFIED,2013),23537)
((HOUSTON, TEXAS,CERTIFIED,2013),11136)
((SAN FRANCISCO, CALIFORNIA,CERTIFIED,2013),7281)
((SAN JOSE, CALIFORNIA,CERTIFIED,2013),6722)
((ATLANTA, GEORGIA,CERTIFIED,2013),6377)
((NEW YORK, NEW YORK,CERTIFIED,2014),27634)
((HOUSTON, TEXAS,CERTIFIED,2014),13360)
((SAN FRANCISCO, CALIFORNIA,CERTIFIED,2014),9798)
((SAN JOSE, CALIFORNIA,CERTIFIED,2014),8223)
((ATLANTA, GEORGIA,CERTIFIED,2014),8213)
((NEW YORK, NEW YORK,CERTIFIED,2015),31266)
((HOUSTON, TEXAS,CERTIFIED,2015),15242)
((SAN FRANCISCO, CALIFORNIA,CERTIFIED,2015),12594)
((ATLANTA, GEORGIA,CERTIFIED,2015),10500)
((SAN JOSE, CALIFORNIA,CERTIFIED,2015),9589)
((NEW YORK, NEW YORK,CERTIFIED,2016),34639)
((SAN FRANCISCO, CALIFORNIA,CERTIFIED,2016),13836)
((HOUSTON, TEXAS,CERTIFIED,2016),13655)
((ATLANTA, GEORGIA,CERTIFIED,2016),11678)
((CHICAGO, ILLINOIS,CERTIFIED,2016),11064)
((NEW YORK, NEW YORK,CERTIFIED,2012),23737)
((HOUSTON, TEXAS,CERTIFIED,2012),9963)
((SAN FRANCISCO, CALIFORNIA,CERTIFIED,2012),6116)
((CHICAGO, ILLINOIS,CERTIFIED,2012),5671)
((ATLANTA, GEORGIA,CERTIFIED,2012),5565)
